Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1679826,ILMN_1679826,0.34928757,0.107128586,3.260451593,0.00111235,0.001688513,0.00111235,0.000992095,1.418056922,1.149491188,1.74937003
ILMN_1716797,ILMN_1716797,0.440275944,0.13485649,3.264773854,0.001095515,0.001707028,0.001095515,0.001003593,1.553135737,1.192392842,2.023016689
ILMN_1758146,ILMN_1758146,0.36206585,0.109982149,3.292041957,0.000994628,0.000763463,0.000994628,0.001004058,1.436293519,1.157780487,1.781805012
ILMN_1858599,ILMN_1858599,-0.382011001,0.115853428,-3.297364677,0.000975967,0.001357531,0.000975967,0.00100534,0.682487545,0.543851228,0.856464462
ILMN_1667371,ILMN_1667371,0.360378249,0.11050203,3.261281699,0.001109098,0.002086553,0.001109098,0.001008425,1.433871673,1.154651134,1.780614
ILMN_1737497,ILMN_1737497,-0.342059667,0.10427629,-3.280320655,0.001036892,0.001151051,0.001036892,0.001009709,0.710305821,0.579008894,0.871375837
ILMN_1872967,ILMN_1872967,0.287776293,0.087340325,3.294884599,0.000984621,0.002213223,0.000984621,0.001010741,1.333458966,1.123661333,1.582427697
ILMN_1897758,ILMN_1897758,-0.351381027,0.103500841,-3.394958193,0.000686391,0.000290801,0.000686391,0.001011394,0.703715568,0.574509326,0.861980089
ILMN_1804601,ILMN_1804601,0.366305354,0.113507463,3.227147742,0.001250309,0.002575617,0.001250309,0.001016784,1.442395616,1.154693353,1.801781492
ILMN_1785804,ILMN_1785804,-0.398773077,0.120321521,-3.314229025,0.000918962,4.21E-05,0.000918962,0.001021399,0.671142982,0.530148075,0.849636023
ILMN_1888729,ILMN_1888729,0.34042913,0.104248782,3.265545412,0.001092535,0.00164719,0.001092535,0.001027025,1.405550626,1.145802509,1.724182436
ILMN_1762319,ILMN_1762319,0.30157312,0.092947591,3.24455016,0.001176363,0.003338848,0.001176363,0.001031453,1.351983969,1.126819644,1.622141273
ILMN_1813823,ILMN_1813823,-0.394780696,0.118094758,-3.342914634,0.000829034,0.000362574,0.000829034,0.001034615,0.673827796,0.534596956,0.849320023
ILMN_1673026,ILMN_1673026,0.317229139,0.096955007,3.271921173,0.001068194,0.00092016,0.001068194,0.00103622,1.373317216,1.135645053,1.660730323
ILMN_1903026,ILMN_1903026,0.396872466,0.121188967,3.274823418,0.00105728,0.001190324,0.00105728,0.001036295,1.487166253,1.17274418,1.885887392
ILMN_1705676,ILMN_1705676,0.43443055,0.132047969,3.289944971,0.00100207,0.004868406,0.00100207,0.001043474,1.544083531,1.191986553,2.000185274
ILMN_1691716,ILMN_1691716,-0.319864767,0.096884561,-3.301504014,0.00096168,0.001079122,0.00096168,0.001044142,0.726247243,0.600642708,0.878117808
ILMN_1778500,ILMN_1778500,0.4168781,0.12707301,3.280618758,0.001035796,0.000437862,0.001035796,0.001046825,1.517217552,1.182723201,1.946312627
ILMN_1709820,ILMN_1709820,0.420089551,0.128532249,3.26835914,0.00108173,0.00329302,0.00108173,0.001047191,1.522097854,1.183138877,1.958165625
ILMN_1733627,ILMN_1733627,-0.35253848,0.108131959,-3.260261652,0.001113095,0.001483372,0.001113095,0.001047321,0.702901522,0.568659624,0.868833533
ILMN_1682491,ILMN_1682491,0.304929964,0.092111945,3.31042802,0.000931534,0.002148991,0.000931534,0.001048726,1.356529993,1.132461825,1.624932146
ILMN_1915053,ILMN_1915053,-0.367194943,0.111955842,-3.27981941,0.001038736,0.000959278,0.001038736,0.001057901,0.6926746,0.556201655,0.862633357
ILMN_1872326,ILMN_1872326,-0.493810245,0.13752038,-3.590815003,0.000329646,8.88E-06,0.000329646,0.001062781,0.610296579,0.466104585,0.799095151
ILMN_1771921,ILMN_1771921,0.329824927,0.099535042,3.313656379,0.000920846,0.000938995,0.000920846,0.001065433,1.390724629,1.144239048,1.690306755
ILMN_1820568,ILMN_1820568,-0.351300416,0.104670172,-3.356261006,0.00079004,0.000506877,0.00079004,0.001067015,0.703772297,0.573240355,0.864027528
ILMN_1888999,ILMN_1888999,-0.350214559,0.109425698,-3.20047817,0.001371998,0.000236002,0.001371998,0.001068068,0.704536909,0.568539216,0.873065994
ILMN_1884161,ILMN_1884161,-0.342981114,0.105680398,-3.245456287,0.001172626,0.000357497,0.001172626,0.001073648,0.709651614,0.576885837,0.8729724
ILMN_1725620,ILMN_1725620,0.452907606,0.135902134,3.332601125,0.000860382,4.34E-05,0.000860382,0.001076432,1.572878855,1.205078026,2.052935858
ILMN_1887477,ILMN_1887477,-0.344814289,0.102988775,-3.348076418,0.000813746,0.000372142,0.000813746,0.001080377,0.70835189,0.578875079,0.866788741
ILMN_1659265,ILMN_1659265,-0.365480333,0.112440513,-3.250432821,0.001152295,0.000671169,0.001152295,0.00108134,0.693863286,0.556627131,0.86493495
ILMN_1905662,ILMN_1905662,-0.338876525,0.103498474,-3.274217591,0.00105955,0.001032726,0.00105955,0.001081701,0.712570428,0.581741082,0.872822345
ILMN_1911771,ILMN_1911771,-0.32630119,0.100183978,-3.257019697,0.001125886,0.001133819,0.001125886,0.001084009,0.72158782,0.592942304,0.878144429
ILMN_1747184,ILMN_1747184,0.309230147,0.094785994,3.262403379,0.001104718,0.001488018,0.001104718,0.001084474,1.362375881,1.131396842,1.640510184
ILMN_1840850,ILMN_1840850,0.472334926,0.143848011,3.283569383,0.001025014,0.001131342,0.001025014,0.001086008,1.603734426,1.20973098,2.126062862
ILMN_1651832,ILMN_1651832,0.404288158,0.116742316,3.463081519,0.000534027,0.000128023,0.000534027,0.00108777,1.498235613,1.19181508,1.883438119
ILMN_1666453,ILMN_1666453,0.337121671,0.101487134,3.321816842,0.000894334,0.000622762,0.000894334,0.001089447,1.400909503,1.148217274,1.709212602
ILMN_1815425,ILMN_1815425,0.349354605,0.107341066,3.254622082,0.001135433,0.001283625,0.001135433,0.001089457,1.418151985,1.149089605,1.750216036
ILMN_1694837,ILMN_1694837,0.339060732,0.104026272,3.259375966,0.001116576,0.001493306,0.001116576,0.001092169,1.403628587,1.144734789,1.721073938
ILMN_1667272,ILMN_1667272,0.32568904,0.10443327,3.118632987,0.001816921,0.008306241,0.001816921,0.001092947,1.384984627,1.128628967,1.699568656
ILMN_1894055,ILMN_1894055,-0.304839491,0.09339223,-3.264077641,0.001098211,0.001005169,0.001098211,0.001094774,0.737241699,0.613923532,0.885330654
ILMN_1797731,ILMN_1797731,0.348093569,0.107275838,3.244845958,0.001175142,0.001347261,0.001175142,0.001096363,1.416364772,1.147788205,1.747786881
ILMN_1886407,ILMN_1886407,-0.362065199,0.110506561,-3.276413588,0.001051345,0.001068338,0.001051345,0.001096724,0.696236973,0.560652453,0.864610365
ILMN_1762825,ILMN_1762825,0.404345553,0.123312872,3.279021472,0.001041677,0.000816755,0.001041677,0.001100764,1.498321608,1.176632761,1.907959489
ILMN_1754039,ILMN_1754039,0.372591246,0.11507214,3.237892726,0.001204161,0.002737735,0.001204161,0.001101406,1.451490916,1.158416511,1.818711889
ILMN_1755501,ILMN_1755501,0.243819801,0.072633028,3.356872327,0.000788295,0.001756342,0.000788295,0.001104905,1.276114355,1.106787508,1.471346428
ILMN_1712583,ILMN_1712583,0.421755082,0.130000048,3.244268663,0.001177526,0.001560865,0.001177526,0.001106119,1.524635069,1.181706606,1.96708056
ILMN_1879230,ILMN_1879230,0.355131259,0.10839142,3.276377957,0.001051477,0.002489732,0.001051477,0.001106693,1.426367865,1.15336987,1.763983383
ILMN_1914302,ILMN_1914302,-0.408639856,0.121287849,-3.36917391,0.000753938,0.000170134,0.000753938,0.001107498,0.664553524,0.523949658,0.842888968
ILMN_1844851,ILMN_1844851,-0.392051534,0.116180152,-3.374513877,0.000739462,0.000187185,0.000739462,0.001111304,0.675669293,0.538073319,0.848451275
ILMN_1757546,ILMN_1757546,-0.3279174,0.098597213,-3.325828298,0.000881562,0.000661918,0.000881562,0.001111746,0.720422524,0.5938287,0.874003924
ILMN_1782439,ILMN_1782439,0.375002851,0.114155019,3.285031664,0.001019709,0.000501591,0.001019709,0.001112448,1.454995563,1.163302713,1.819829065
ILMN_1867302,ILMN_1867302,-0.393813162,0.121082293,-3.252442212,0.001144179,0.001259167,0.001144179,0.001125145,0.674480063,0.531990261,0.855134743
ILMN_1828325,ILMN_1828325,-0.321983194,0.098085323,-3.282684748,0.001028236,0.000806661,0.001028236,0.001125292,0.72471037,0.597962704,0.87832421
ILMN_1792435,ILMN_1792435,0.344469879,0.105910992,3.252446919,0.00114416,0.000863133,0.00114416,0.001127323,1.411241592,1.146699882,1.736812624
ILMN_1702866,ILMN_1702866,0.34715948,0.107218008,3.237884084,0.001204197,0.001400904,0.001204197,0.001132792,1.415042378,1.146846552,1.745957147
ILMN_1677122,ILMN_1677122,0.356327083,0.10727348,3.321669853,0.000894805,0.000594158,0.000894805,0.001135482,1.428074571,1.157282896,1.762228567
ILMN_1735701,ILMN_1735701,0.271741022,0.081710416,3.325659518,0.000882096,0.002837032,0.000882096,0.001135604,1.312247114,1.118056097,1.540166449
ILMN_1684943,ILMN_1684943,0.617597755,0.187654546,3.291141992,0.000997815,0.001427698,0.000997815,0.001138318,1.854467801,1.283770697,2.6788669
ILMN_1660114,ILMN_1660114,0.353212406,0.108868719,3.244388372,0.001177031,0.003990091,0.001177031,0.001139505,1.423633499,1.150082453,1.762249599
ILMN_1849661,ILMN_1849661,-0.405648491,0.116691627,-3.476243329,0.000508491,4.99E-05,0.000508491,0.001139831,0.666544423,0.530274821,0.837832479
ILMN_1666798,ILMN_1666798,-0.319380571,0.097063149,-3.29044107,0.001000305,0.000727904,0.001000305,0.001141307,0.726598974,0.600723302,0.878850658
ILMN_1656139,ILMN_1656139,-0.396415849,0.118956592,-3.332441198,0.000860877,4.90E-05,0.000860877,0.001141946,0.672726885,0.532822737,0.849365896
ILMN_1724376,ILMN_1724376,0.396674412,0.119107345,3.330394217,0.000867231,0.000170042,0.000867231,0.001148341,1.486871744,1.177305445,1.877836879
ILMN_1801851,ILMN_1801851,0.222464613,0.070536366,3.153899538,0.001611045,0.01005124,0.001611045,0.001152412,1.249151615,1.087863711,1.434352245
ILMN_1761456,ILMN_1761456,0.321586135,0.098873929,3.252486668,0.001144,0.000766662,0.001144,0.001152604,1.379313808,1.136322074,1.674267029
ILMN_1699160,ILMN_1699160,0.439403625,0.136001803,3.230866184,0.001234157,0.003260093,0.001234157,0.001155465,1.551781499,1.188681833,2.025795089
ILMN_1774784,ILMN_1774784,-0.380907071,0.116633108,-3.265857164,0.001091333,0.000420596,0.001091333,0.001155793,0.68324138,0.543620567,0.858721709
ILMN_1785452,ILMN_1785452,-0.332921095,0.102042776,-3.262564077,0.001104092,0.000420499,0.001104092,0.001160539,0.716826753,0.58688801,0.875534318
ILMN_1890305,ILMN_1890305,-0.381933354,0.117288479,-3.256358654,0.001128511,0.001010288,0.001128511,0.001164598,0.68254054,0.542365826,0.858943478
ILMN_1785493,ILMN_1785493,0.317351979,0.098398326,3.225176604,0.00125895,0.001574722,0.00125895,0.001165294,1.373485925,1.132576136,1.665639535
ILMN_1851746,ILMN_1851746,-0.381502795,0.115316654,-3.308306132,0.000938621,0.000273619,0.000938621,0.001165946,0.682834478,0.544700442,0.855998799
ILMN_1773307,ILMN_1773307,0.289429437,0.090193305,3.208990269,0.00133202,0.003825958,0.00133202,0.001167045,1.335665189,1.119244393,1.593933827
ILMN_1701877,ILMN_1701877,0.354667975,0.10989385,3.227368736,0.001249343,0.001975854,0.001249343,0.001167963,1.425707205,1.149445885,1.768366011
ILMN_1784764,ILMN_1784764,-0.335553363,0.1023289,-3.279165149,0.001041147,0.000714827,0.001041147,0.001168837,0.714942354,0.58501703,0.873722548
ILMN_1767892,ILMN_1767892,0.305442518,0.090605365,3.371130607,0.000748604,0.000498814,0.000748604,0.001174652,1.357225467,1.136393063,1.620971677
ILMN_1687184,ILMN_1687184,-0.344213085,0.106370876,-3.235971141,0.001212296,0.00086864,0.001212296,0.001177801,0.708777882,0.57539635,0.873078333
ILMN_1696214,ILMN_1696214,0.341779663,0.10485707,3.259481327,0.001116161,0.001693612,0.001116161,0.00117925,1.407450149,1.145983914,1.72857219
ILMN_1761941,ILMN_1761941,0.377931049,0.117453246,3.217714813,0.001292162,0.00112441,0.001292162,0.001179613,1.459262322,1.159196297,1.837002526
ILMN_1882618,ILMN_1882618,0.370109874,0.114063995,3.244756358,0.001175512,0.001485447,0.001175512,0.001190289,1.447893691,1.157831143,1.810623382
ILMN_1679268,ILMN_1679268,0.432515823,0.133318031,3.244240996,0.001177641,0.000952768,0.001177641,0.001190886,1.54112986,1.186748581,2.001334809
ILMN_1674593,ILMN_1674593,0.242093448,0.078681856,3.076864976,0.0020919,0.018638191,0.0020919,0.001194542,1.273913231,1.09185692,1.486325627
ILMN_1691693,ILMN_1691693,0.519685666,0.166601899,3.119326193,0.001812652,0.010086249,0.001812652,0.001198496,1.681499014,1.213067099,2.330818252
ILMN_1746864,ILMN_1746864,0.37012909,0.114923286,3.220662274,0.001278948,0.002812836,0.001278948,0.001200976,1.447921515,1.155905003,1.813710217
ILMN_1907348,ILMN_1907348,0.34824633,0.108043664,3.223199927,0.00126767,0.001240762,0.00126767,0.001214037,1.416581154,1.146237271,1.750686542
ILMN_1688811,ILMN_1688811,-0.432580531,0.13333914,-3.244212694,0.001177758,0.000593423,0.001177758,0.001218142,0.6488326,0.499613518,0.842618799
ILMN_1675097,ILMN_1675097,0.32389006,0.098672792,3.28246576,0.001029035,0.002151775,0.001029035,0.001220718,1.382495308,1.139392177,1.677467438
ILMN_1713243,ILMN_1713243,0.340021765,0.10565944,3.218091692,0.001290466,0.000943241,0.001290466,0.001226156,1.404978169,1.142173548,1.728251945
ILMN_1789911,ILMN_1789911,0.453062666,0.140860531,3.216391866,0.001298134,0.002432468,0.001298134,0.001226757,1.573122765,1.193608532,2.073305583
ILMN_1902186,ILMN_1902186,-0.333579283,0.102211116,-3.263630173,0.001099946,0.000486535,0.001099946,0.001232004,0.716355102,0.586308376,0.875246974
ILMN_1868555,ILMN_1868555,-0.381040356,0.111333058,-3.422526619,0.00062042,0.00021992,0.00062042,0.001235309,0.68315032,0.549223871,0.849734296
ILMN_1822716,ILMN_1822716,-0.374308599,0.116227456,-3.22048346,0.001279746,0.001071019,0.001279746,0.001235484,0.687764635,0.54765474,0.863719711
ILMN_1836319,ILMN_1836319,0.375223349,0.115590212,3.246151576,0.001169765,0.001427309,0.001169765,0.001238468,1.455316421,1.160290838,1.825357761
ILMN_1721626,ILMN_1721626,0.317118103,0.097709344,3.245524823,0.001172343,0.001150576,0.001172343,0.001238794,1.373164737,1.133841366,1.663002825
ILMN_1826911,ILMN_1826911,-0.319095045,0.098213015,-3.249009755,0.001158075,0.000763785,0.001158075,0.001239502,0.726806466,0.599542138,0.881085092
ILMN_1673773,ILMN_1673773,0.344490736,0.106545123,3.233284886,0.001223755,0.001743844,0.001223755,0.001242316,1.411271027,1.145299451,1.739008877
ILMN_1651404,ILMN_1651404,0.364091243,0.111877418,3.254376521,0.001136416,0.001591986,0.001136416,0.001242689,1.439205525,1.155826338,1.792062073
ILMN_1798270,ILMN_1798270,0.278991,0.086732528,3.216682457,0.00129682,0.001555859,0.00129682,0.001254716,1.321795447,1.115160532,1.56671901
ILMN_1820481,ILMN_1820481,-0.29466899,0.091443145,-3.222428444,0.001271089,0.001337346,0.001271089,0.00125496,0.744778076,0.62257308,0.890970715
ILMN_1661799,ILMN_1661799,0.312360743,0.096130115,3.24935368,0.001156676,0.000676668,0.001156676,0.001256176,1.366647613,1.131958343,1.64999508
ILMN_1728676,ILMN_1728676,0.384548071,0.117899292,3.261665658,0.001107597,0.000305303,0.001107597,0.00126112,1.46895031,1.165872467,1.850815654
ILMN_1835373,ILMN_1835373,0.21704784,0.068341586,3.175926286,0.001493589,0.005997647,0.001493589,0.001262782,1.242403538,1.086651329,1.420480065
ILMN_1768357,ILMN_1768357,0.271764545,0.089716671,3.029142106,0.002452493,0.011795398,0.002452493,0.001270712,1.312277982,1.10067442,1.564562119
ILMN_1730907,ILMN_1730907,0.365386096,0.113061889,3.231735282,0.00123041,0.001040701,0.00123041,0.001271257,1.441070293,1.154640298,1.798554572
ILMN_1748019,ILMN_1748019,0.363075821,0.112763031,3.219812549,0.001282744,0.00138559,0.001282744,0.001279442,1.437744867,1.15265081,1.793353445
ILMN_1821595,ILMN_1821595,0.391842407,0.121722019,3.21915796,0.001285676,0.00125043,0.001285676,0.001281375,1.479704502,1.165641563,1.878386533
ILMN_1906505,ILMN_1906505,-0.355622284,0.109418676,-3.250105889,0.00115362,0.000513359,0.00115362,0.001285482,0.70073725,0.565480793,0.868345485
ILMN_1722824,ILMN_1722824,0.333703032,0.104164835,3.203605458,0.001357183,0.002522924,0.001357183,0.0012866,1.396128477,1.138308864,1.712342569
ILMN_1829618,ILMN_1829618,0.397986217,0.123790991,3.214985292,0.001304512,0.001148908,0.001304512,0.001287047,1.488823509,1.168078781,1.897642074
ILMN_1751656,ILMN_1751656,0.275836061,0.085922198,3.210300339,0.001325963,0.002048654,0.001325963,0.001288415,1.317631835,1.113414754,1.559305414
ILMN_1658016,ILMN_1658016,0.461734558,0.143640779,3.214508866,0.001306679,0.00288761,0.001306679,0.001294148,1.586824038,1.197461386,2.102790584
ILMN_1658945,ILMN_1658945,-0.360359076,0.112836556,-3.193637668,0.001404923,0.000832029,0.001404923,0.001295321,0.697425852,0.559050952,0.870050964
ILMN_1658847,ILMN_1658847,0.303379156,0.09474054,3.202210547,0.001363773,0.002114202,0.001363773,0.001295541,1.354427907,1.124896588,1.630794309
ILMN_1696627,ILMN_1696627,0.381817421,0.118950542,3.209883816,0.001327886,0.001929957,0.001327886,0.001298226,1.464944593,1.160300058,1.849575587
ILMN_1776249,ILMN_1776249,0.303393032,0.091210283,3.326302954,0.000880062,0.00324973,0.000880062,0.001299696,1.354446701,1.132722654,1.619571974
ILMN_1705047,ILMN_1705047,0.228658801,0.074774311,3.057986049,0.002228299,0.012580148,0.002228299,0.001300599,1.256913108,1.085568533,1.455302464
ILMN_1685115,ILMN_1685115,-0.328655045,0.099823599,-3.292358191,0.00099351,0.000488662,0.00099351,0.001304011,0.719891304,0.591966221,0.875461253
ILMN_1850934,ILMN_1850934,0.345661353,0.107688266,3.209833023,0.001328121,0.001851328,0.001328121,0.001305926,1.412924052,1.144074748,1.744951002
ILMN_1765860,ILMN_1765860,0.342477831,0.107788646,3.177308961,0.001486486,0.002463717,0.001486486,0.001310817,1.40843313,1.140214003,1.739746991
ILMN_1770344,ILMN_1770344,-0.358735564,0.10920512,-3.284970181,0.001019932,0.000251233,0.001019932,0.001321319,0.698559051,0.563959033,0.865284035
ILMN_1891504,ILMN_1891504,-0.35555686,0.108159835,-3.287328049,0.001011429,0.000715366,0.001011429,0.001326005,0.700783096,0.566914805,0.866262344
ILMN_1791771,ILMN_1791771,0.343171517,0.107249139,3.199760117,0.00137542,0.002211923,0.00137542,0.001332272,1.409410478,1.142212382,1.739114309
ILMN_1851757,ILMN_1851757,0.31501678,0.094257507,3.34208691,0.00083151,0.001868979,0.00083151,0.001332759,1.370282304,1.139142129,1.648322491
ILMN_1913140,ILMN_1913140,0.330173825,0.102866286,3.209737988,0.00132856,0.001713841,0.00132856,0.001339276,1.391209935,1.137189207,1.701972786
ILMN_1805673,ILMN_1805673,-0.398531551,0.124763789,-3.194288627,0.001401759,0.001341322,0.001401759,0.001339617,0.6713051,0.525679229,0.857272862
ILMN_1767020,ILMN_1767020,0.370718726,0.11607644,3.193746522,0.001404394,0.002028545,0.001404394,0.001341031,1.448775513,1.15397567,1.818886256
ILMN_1774410,ILMN_1774410,0.279893701,0.086531559,3.234585202,0.001218196,0.000862242,0.001218196,0.001345003,1.322989172,1.116607378,1.567516375
ILMN_1808530,ILMN_1808530,0.33547221,0.104483244,3.210775228,0.001323774,0.001620584,0.001323774,0.001348127,1.398600663,1.139613097,1.716445537
ILMN_1665540,ILMN_1665540,-0.31489708,0.098058531,-3.211317537,0.001321278,0.000954774,0.001321278,0.00134819,0.729863988,0.602246609,0.884523771
ILMN_1654560,ILMN_1654560,0.413036393,0.13026958,3.170628126,0.001521097,0.002761668,0.001521097,0.001348996,1.51140003,1.170829777,1.95103515
ILMN_1781680,ILMN_1781680,0.359751426,0.107028679,3.361261955,0.000775872,0.00018425,0.000775872,0.001350356,1.43297317,1.161809926,1.767425171
ILMN_1913719,ILMN_1913719,-0.364360888,0.112043143,-3.25196954,0.001146083,0.000541302,0.001146083,0.001350365,0.694640462,0.557684766,0.865229609
ILMN_1754068,ILMN_1754068,0.33350027,0.104359651,3.19568212,0.001395007,0.001926591,0.001395007,0.001350654,1.395845424,1.137643609,1.712649228
ILMN_1840175,ILMN_1840175,-0.342322023,0.107276568,-3.191023241,0.001417699,0.000381531,0.001417699,0.001351767,0.710119493,0.575463064,0.876285075
ILMN_1794598,ILMN_1794598,0.315472088,0.099297876,3.177027567,0.001487929,0.00262524,0.001487929,0.00135928,1.370906347,1.128457694,1.665444989
ILMN_1743995,ILMN_1743995,-0.365886563,0.11414017,-3.205589795,0.00134786,0.001023777,0.00134786,0.001360345,0.693581475,0.554550621,0.86746862
ILMN_1674250,ILMN_1674250,0.351013424,0.109661522,3.200880483,0.001370083,0.002293517,0.001370083,0.00136212,1.420506395,1.145774458,1.761113107
ILMN_1907182,ILMN_1907182,-0.342485654,0.10656242,-3.213944031,0.001309252,0.000448279,0.001309252,0.001365658,0.710003305,0.576174819,0.874916218
ILMN_1701308,ILMN_1701308,0.29477479,0.092477739,3.187521586,0.001434977,0.002194936,0.001434977,0.001367803,1.342823908,1.120216255,1.60966781
ILMN_1764043,ILMN_1764043,0.272368226,0.083743228,3.252420923,0.001144264,0.000559982,0.001144264,0.001368129,1.313070419,1.114309038,1.547285239
ILMN_1726805,ILMN_1726805,0.334438381,0.105979745,3.155682064,0.001601233,0.003164201,0.001601233,0.001368781,1.397155496,1.135101299,1.719708612
ILMN_1686725,ILMN_1686725,0.380195925,0.118493147,3.208589983,0.001333876,0.001074157,0.001333876,0.001370972,1.462571116,1.159459124,1.844924262
ILMN_1917271,ILMN_1917271,-0.425599178,0.122893244,-3.463161726,0.000533867,3.42E-05,0.000533867,0.001378886,0.653378178,0.513520407,0.831326346
ILMN_1863745,ILMN_1863745,-0.413073873,0.119107057,-3.46808899,0.000524174,7.19E-05,0.000524174,0.001386744,0.661613406,0.523865968,0.835580713
ILMN_1905123,ILMN_1905123,-0.316698626,0.098909241,-3.201911383,0.00136519,0.001462401,0.00136519,0.001393884,0.728550288,0.60016109,0.88440509
ILMN_1713384,ILMN_1713384,-0.325289252,0.102617316,-3.169925541,0.00152478,0.001123715,0.00152478,0.001399222,0.722318391,0.590718612,0.883235855
ILMN_1739393,ILMN_1739393,0.368361001,0.118118407,3.118574058,0.001817285,0.004788689,0.001817285,0.001407193,1.445363723,1.14665978,1.821879801
ILMN_1803398,ILMN_1803398,0.340288594,0.10649547,3.195333969,0.001396691,0.002216211,0.001396691,0.001410505,1.405353109,1.140607834,1.731548129
ILMN_1727194,ILMN_1727194,0.314880942,0.097961872,3.214321408,0.001307532,0.001209942,0.001307532,0.001413274,1.370096181,1.13074782,1.660108038
ILMN_1841003,ILMN_1841003,0.316173918,0.0988081,3.199878532,0.001374855,0.001947033,0.001374855,0.001413488,1.371868828,1.130334493,1.665015172
ILMN_1690217,ILMN_1690217,0.72143217,0.225244324,3.202887241,0.001360572,0.001614031,0.001360572,0.00141403,2.057377616,1.323078751,3.199206888
ILMN_1685275,ILMN_1685275,0.305419995,0.097147938,3.143864931,0.001667324,0.004105829,0.001667324,0.001414929,1.357194898,1.121888623,1.641854596
ILMN_1884489,ILMN_1884489,-0.345369263,0.106469139,-3.243843862,0.001179284,0.000878692,0.001179284,0.001420583,0.707958882,0.574620796,0.872237452
ILMN_1670767,ILMN_1670767,-0.353081516,0.109547035,-3.223104277,0.001268094,0.000415361,0.001268094,0.00142344,0.702519924,0.566776769,0.870773594
ILMN_1658356,ILMN_1658356,0.420629962,0.131644414,3.195197954,0.00139735,0.001760757,0.00139735,0.001423891,1.522920635,1.176579678,1.971211388
ILMN_1690034,ILMN_1690034,0.322984449,0.10353581,3.119543373,0.001811316,0.004397912,0.001811316,0.001425911,1.38124387,1.127562238,1.6919994
ILMN_1875984,ILMN_1875984,-0.434531434,0.126489178,-3.435324994,0.000591844,4.51E-05,0.000591844,0.001432146,0.647568025,0.50537949,0.829761307
ILMN_1774945,ILMN_1774945,0.314638392,0.09880888,3.184312892,0.001450981,0.002515234,0.001450981,0.001435732,1.369763904,1.128598441,1.662463002
ILMN_1793509,ILMN_1793509,0.322637878,0.101651615,3.173957221,0.001503759,0.001770866,0.001503759,0.001436363,1.380765255,1.131341813,1.685178315
ILMN_1891152,ILMN_1891152,0.335051001,0.101047423,3.315779762,0.000913878,0.0023296,0.000913878,0.0014395,1.398011683,1.146830087,1.7042077
ILMN_1782745,ILMN_1782745,0.293810994,0.093419118,3.145084235,0.00166039,0.002837338,0.00166039,0.001440004,1.341530323,1.117074136,1.61108699
ILMN_1664165,ILMN_1664165,0.246101911,0.077195206,3.188046539,0.001432375,0.003683413,0.001432375,0.001441159,1.279029914,1.099441239,1.487953573
ILMN_1709131,ILMN_1709131,-0.354930808,0.111606784,-3.180190258,0.001471784,0.000398979,0.001471784,0.001448612,0.701221961,0.563450335,0.872680709
ILMN_1652199,ILMN_1652199,0.362734875,0.115691435,3.135364993,0.001716404,0.003140603,0.001716404,0.001450887,1.437254757,1.145663367,1.803061261
ILMN_1694213,ILMN_1694213,0.295299482,0.093507862,3.158017683,0.001588459,0.003092777,0.001588459,0.001451409,1.343528661,1.118543553,1.613767526
ILMN_1673306,ILMN_1673306,-0.383033305,0.120462344,-3.179693269,0.00147431,0.001263793,0.00147431,0.001458573,0.681790192,0.538409875,0.863353159
ILMN_1655348,ILMN_1655348,0.366782828,0.113902288,3.220153306,0.001281221,0.004849642,0.001281221,0.001458853,1.443084488,1.154351191,1.804037502
ILMN_1781261,ILMN_1781261,0.33188175,0.104760534,3.168003605,0.001534896,0.002349111,0.001534896,0.001462446,1.393588047,1.134911729,1.711223521
ILMN_1679640,ILMN_1679640,0.335891849,0.102117976,3.289252903,0.001004537,0.000320496,0.001004537,0.001468674,1.399187693,1.145388973,1.709223893
ILMN_1715787,ILMN_1715787,0.317944039,0.101538675,3.131260464,0.001740577,0.00383473,0.001740577,0.001470795,1.374299352,1.126293207,1.676915654
ILMN_1781548,ILMN_1781548,0.181526922,0.064313052,2.822551797,0.004764313,0.033452079,0.004764313,0.001474737,1.199046817,1.057043283,1.360127151
ILMN_1762899,ILMN_1762899,0.364858759,0.115275549,3.165101029,0.001550291,0.001807172,0.001550291,0.001475233,1.440310563,1.149035431,1.805422585
ILMN_1736412,ILMN_1736412,0.317338801,0.100127468,3.169348098,0.001527813,0.002359542,0.001527813,0.001479389,1.373467826,1.128729394,1.671272034
ILMN_1779875,ILMN_1779875,0.342399705,0.107567147,3.183125273,0.001456946,0.001343103,0.001456946,0.001485866,1.408323099,1.140619996,1.738856024
ILMN_1748473,ILMN_1748473,0.419727703,0.131335683,3.195839032,0.001394249,0.001163367,0.001394249,0.001486154,1.521547187,1.1762301,1.968242303
ILMN_1758825,ILMN_1758825,0.381077234,0.121203669,3.144106408,0.001665948,0.004096706,0.001665948,0.001486571,1.46386066,1.154332675,1.856386879
ILMN_1717796,ILMN_1717796,0.279748278,0.087297878,3.204525537,0.001352853,0.00464023,0.001352853,0.00148912,1.322796793,1.114769416,1.569644207
ILMN_1874291,ILMN_1874291,0.324914918,0.103090751,3.151736848,0.001623025,0.002429662,0.001623025,0.001494335,1.383912894,1.130726967,1.69379077
