Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1697056,ILMN_1697056,-0.415747329,0.120078317,-3.462301423,0.000535577,5.35E-05,0.000535577,0.000448588,0.659846974,0.521473664,0.834937714
ILMN_1898325,ILMN_1898325,0.294296249,0.081995172,3.589189967,0.000331707,0.001973825,0.000331707,0.000459761,1.342181465,1.142922599,1.576179425
ILMN_1866204,ILMN_1866204,-0.368958429,0.101491915,-3.635347973,0.000277606,0.000148701,0.000277606,0.000462238,0.691454154,0.566726232,0.843632817
ILMN_1775781,ILMN_1775781,0.345776318,0.099391419,3.478935309,0.00050341,0.000552624,0.00050341,0.000462291,1.413086498,1.162964927,1.717002298
ILMN_1752046,ILMN_1752046,0.361580136,0.103296255,3.500418645,0.000464528,0.000546052,0.000464528,0.00046495,1.435596061,1.172482384,1.757754382
ILMN_1696245,ILMN_1696245,0.420617715,0.121986644,3.448063674,0.000564621,0.000995711,0.000564621,0.000465458,1.522901984,1.199048453,1.9342258
ILMN_1733515,ILMN_1733515,0.396340429,0.113983246,3.477181453,0.000506715,0.001194029,0.000506715,0.000470638,1.486375237,1.188791651,1.858451262
ILMN_1753326,ILMN_1753326,0.468670683,0.135708198,3.45351785,0.000553326,0.00102094,0.000553326,0.000473726,1.597868706,1.224689697,2.084760254
ILMN_1832434,ILMN_1832434,0.282316287,0.080563092,3.504288145,0.00045783,0.001489488,0.00045783,0.000474185,1.326198112,1.132486354,1.553044262
ILMN_1829148,ILMN_1829148,-0.523555148,0.134377606,-3.896148782,9.77E-05,7.34E-06,9.77E-05,0.000477816,0.592410692,0.45524005,0.770912903
ILMN_1755937,ILMN_1755937,0.361079085,0.104112074,3.468176831,0.000524002,0.000621849,0.000524002,0.000499412,1.434876933,1.170022721,1.759685326
ILMN_1663061,ILMN_1663061,0.322732979,0.092314271,3.496024772,0.000472245,0.000469113,0.000472245,0.000508044,1.380896574,1.152346539,1.654775957
ILMN_1893970,ILMN_1893970,-0.403050154,0.116234379,-3.467564054,0.000525199,0.000426613,0.000525199,0.000508828,0.668278582,0.532131122,0.839259807
ILMN_1684850,ILMN_1684850,0.377212401,0.107396851,3.512322726,0.000444208,0.001245301,0.000444208,0.000509255,1.458214003,1.181421578,1.799855459
ILMN_1799826,ILMN_1799826,-0.356032822,0.099030943,-3.595167429,0.000324183,0.000120228,0.000324183,0.000511251,0.70044963,0.576874867,0.850495856
ILMN_1748661,ILMN_1748661,-0.398169331,0.114915815,-3.464878449,0.000530471,0.000349998,0.000530471,0.000512321,0.671548304,0.53611843,0.84118937
ILMN_1893976,ILMN_1893976,-0.379614074,0.105857693,-3.586079235,0.000335687,0.000156904,0.000335687,0.000520743,0.68412538,0.555941982,0.841863991
ILMN_1754533,ILMN_1754533,0.391064536,0.110488716,3.539407009,0.000401027,0.000890577,0.000401027,0.000521505,1.47855393,1.190663401,1.836053517
ILMN_1763487,ILMN_1763487,0.400475321,0.116028798,3.451516586,0.000557445,0.001394154,0.000557445,0.000524552,1.492533963,1.188941072,1.873648477
ILMN_1728369,ILMN_1728369,0.318510745,0.092248242,3.452756813,0.000554889,0.001036867,0.000554889,0.000524697,1.375078397,1.147639832,1.647590598
ILMN_1768940,ILMN_1768940,0.389292953,0.113218266,3.43842887,0.0005851,0.000915487,0.0005851,0.000526597,1.475936868,1.182214329,1.842635117
ILMN_1731287,ILMN_1731287,0.385589,0.111661721,3.453188763,0.000554001,0.000309192,0.000554001,0.000528613,1.47048018,1.181442381,1.830230567
ILMN_1723407,ILMN_1723407,0.291768762,0.084332512,3.459742349,0.000540692,0.001594895,0.000540692,0.00052872,1.338793402,1.134826841,1.579419617
ILMN_1660364,ILMN_1660364,0.398681312,0.114906329,3.469620131,0.000521195,0.000975468,0.000521195,0.000528725,1.489858743,1.189423869,1.866180034
ILMN_1706410,ILMN_1706410,0.3549792,0.103082915,3.443627885,0.000573965,0.001399667,0.000573965,0.000528732,1.42615099,1.165255527,1.745459772
ILMN_1712946,ILMN_1712946,0.331401554,0.09612856,3.447482772,0.000565836,0.000908712,0.000565836,0.000537299,1.392919012,1.15372177,1.681708211
ILMN_1726703,ILMN_1726703,0.405571151,0.113100394,3.585939324,0.000335867,9.06E-05,0.000335867,0.000537789,1.500159073,1.201893767,1.872442729
ILMN_1706643,ILMN_1706643,0.34468598,0.0995655,3.461901753,0.000536373,0.000600024,0.000536373,0.000545356,1.411546596,1.161301298,1.715716495
ILMN_1711550,ILMN_1711550,0.298706542,0.086227311,3.464175558,0.000531859,0.002374023,0.000531859,0.000551739,1.348113951,1.138491475,1.596332748
ILMN_1777263,ILMN_1777263,0.341749048,0.101067886,3.381381176,0.000721224,0.004757294,0.000721224,0.000552468,1.407407062,1.154491089,1.715729691
ILMN_1778064,ILMN_1778064,-0.371549768,0.104521829,-3.55475763,0.000378328,0.000133823,0.000378328,0.000557053,0.689664682,0.561912695,0.846461341
